Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
Germany,Bundesliga,(HKI),Fin Bartels,23,8,2315,8,6.34,0.26,42,29,1.72,1.19,2016
Germany,Bundesliga,(BMG),Lars Stindl,29,1,2673,11,8.44,0.3,68,50,2.42,1.78,2016
Germany,Bundesliga,(BAY),Serge Gnabry,23,4,2028,11,5.76,0.27,62,33,2.9,1.55,2016
Germany,Bundesliga,Sandro,Wagner ,30,1,2695,11,12.2,0.43,65,35,2.29,1.23,2016
Germany,Bundesliga,(HOF),Andrej Kramaric,28,6,2449,15,13.41,0.52,99,60,3.84,2.33,2016
Germany,Bundesliga,(FCA),Florian Niederlechner,29,5,2477,11,10.69,0.41,79,56,3.03,2.15,2016
Germany,Bundesliga,(BAY),Robert Lewandowski,31,2,2871,30,30.52,1.01,143,86,4.73,2.85,2016
Germany,Bundesliga,(RBL),Emil Forsberg,27,3,2420,8,5.86,0.23,49,32,1.92,1.26,2016
Germany,Bundesliga,(CHE),Timo Werner,28,3,2496,21,12.61,0.48,74,50,2.82,1.9,2016
Germany,Bundesliga,(SCF),Nils Petersen,7,26,1351,10,9.24,0.65,52,33,3.66,2.32,2016
Germany,Bundesliga,(SCH),Vedad Ibisevic,32,0,2772,12,12.84,0.44,72,46,2.47,1.58,2016
Germany,Bundesliga,None,Mario Gomez,32,1,2950,16,18.32,0.59,84,45,2.71,1.45,2016
Germany,Bundesliga,(WOB),Maximilian Philipp,23,2,2000,9,6.11,0.29,53,34,2.52,1.62,2016
Germany,Bundesliga,(MAI),Adam Szalai,7,15,833,8,3.95,0.45,18,15,2.05,1.71,2016
Germany,Bundesliga,(ARS),Pierre-Emerick Aubameyang,31,1,2894,31,28.94,0.95,116,78,3.81,2.56,2016
Germany,Bundesliga,(STP),Guido Burgstaller,17,1,1494,9,8.18,0.52,45,24,2.86,1.53,2016
Germany,Bundesliga,(UNB),Max Kruse,23,0,2121,15,8.48,0.38,41,28,1.84,1.25,2016
Germany,Bundesliga,(LAG),Chicharito ,20,6,1895,11,11.57,0.58,52,30,2.61,1.5,2016
Germany,Bundesliga,(KOL),Anthony Modeste,34,0,3075,25,19.74,0.61,101,53,3.12,1.64,2016
Germany,Bundesliga,(GRO),Arjen Robben,21,5,1882,13,4.95,0.25,83,52,4.19,2.62,2016
England,Premier League,(INT),Alexis Sanchez,36,2,3385,24,19.24,0.54,129,49,3.62,1.38,2016
England,Premier League,(INT),Romelu Lukaku,36,1,3448,25,18.15,0.5,110,53,3.03,1.46,2016
England,Premier League,(TOT),Harry Kane,29,1,2636,29,18.87,0.68,110,58,3.96,2.09,2016
England,Premier League,(LEI),Jamie Vardy,33,2,2938,13,9.28,0.3,54,26,1.75,0.84,2016
England,Premier League,(CRY),Christian Benteke,36,0,3299,15,18.4,0.53,105,38,3.02,1.09,2016
England,Premier League,(ROM),Pedro None,26,9,2250,10,5.68,0.24,59,17,2.49,0.72,2016
England,Premier League,(RMA),Eden Hazard,36,0,3101,16,11.1,0.34,77,32,2.36,0.98,2016
England,Premier League,(LIV),Roberto Firmino,34,1,3228,11,10.87,0.32,104,43,3.06,1.27,2016
England,Premier League,(LIV),Sadio Mane,26,1,2347,13,9.14,0.37,58,24,2.35,0.97,2016
England,Premier League,(BAR),Philippe Coutinho,28,3,2327,13,9.31,0.38,107,36,4.37,1.47,2016
England,Premier League,(ATL),Diego Costa,35,0,3232,20,16.67,0.49,111,41,3.26,1.21,2016
England,Premier League,(TOT),Dele Alli,35,2,3182,18,15.07,0.45,95,43,2.84,1.28,2016
England,Premier League,(MNC),Sergio Aguero,25,6,2444,21,22.38,0.87,139,51,5.4,1.98,2016
England,Premier League,(RAN),Jermain Defoe,37,0,3511,15,15.52,0.42,99,31,2.68,0.84,2016
England,Premier League,(NAP),Fernando Llorente,28,5,2562,15,8.36,0.31,52,25,1.93,0.93,2016
England,Premier League,(WHU),Michail Antonio,29,0,2493,11,9.71,0.37,79,25,3.01,0.95,2016
England,Premier League,(ACM),Zlatan Ibrahimovic,27,1,2578,17,15.74,0.58,115,45,4.24,1.66,2016
England,Premier League,(CHE),Olivier Giroud,11,18,1311,12,6.9,0.5,39,20,2.83,1.45,2016
England,Premier League,(TOT),Son Heung-Min,23,11,2174,14,7.32,0.32,80,33,3.5,1.44,2016
England,Premier League,(BOU),Joshua King,31,5,2856,16,10.82,0.36,67,29,2.23,0.96,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(GRE),Diego Souza,34,0,2981,14,10.67,0.34,86,35,2.74,1.12,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Pablo ,30,3,2757,9,7.55,0.26,63,24,2.17,0.83,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Robinho ,26,4,2234,12,8,0.34,49,22,2.08,0.94,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Kempes ,19,7,1684,9,5.85,0.33,44,21,2.48,1.18,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(MNC),Gabriel Jesus,26,1,2448,12,11.08,0.43,75,34,2.91,1.32,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Bruno Rangel ,19,12,2016,10,8.91,0.42,35,17,1.65,0.8,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(CEA),Rogerio ,22,9,2051,9,6.69,0.31,81,28,3.75,1.3,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Vitor Bueno,32,1,2670,10,9.27,0.33,73,30,2.6,1.07,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(SAN),Marinho ,27,0,2360,12,7.45,0.3,111,34,4.47,1.37,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Grafite ,29,2,2511,13,14.01,0.53,64,34,2.42,1.29,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(HUR),Andres Chavez,19,2,1786,9,10.53,0.56,67,32,3.56,1.7,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(BOT),Cicero Semedo,35,0,3322,9,9.79,0.28,62,27,1.77,0.77,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Sassa,13,13,1412,12,11.15,0.75,41,25,2.76,1.68,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Giorgian de Arrascaeta,30,1,2423,9,7.65,0.3,75,24,2.94,0.94,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(CAM),Keno ,32,2,3093,10,6.19,0.19,73,25,2.24,0.77,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(FLU),Fred ,33,1,2821,14,13.66,0.46,63,28,2.12,0.94,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Kleber Gladiador,23,1,2143,9,8.35,0.37,50,23,2.22,1.02,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Pottker ,19,12,2007,14,8.66,0.41,61,25,2.89,1.18,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Jonathan Copete,22,3,2147,10,8.14,0.36,37,17,1.64,0.75,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(CFC),Ricardo Oliveira,20,0,1834,11,8.49,0.44,53,25,2.75,1.29,2016
Spain,La Liga,(GET),Angel Rodriguez,26,7,2390,13,11.82,0.47,68,31,2.7,1.23,2017
Spain,La Liga,(BAR),Antoine Griezmann,30,2,2596,19,15.58,0.57,72,40,2.63,1.46,2017
Spain,La Liga,(CEL),Iago Aspas,33,1,3053,22,19.92,0.62,94,43,2.92,1.34,2017
Spain,La Liga,(TOT),Gareth Bale,20,6,1872,16,12.81,0.65,77,32,3.91,1.62,2017
Spain,La Liga,None,Rodrigo None,31,6,2770,16,15.45,0.53,92,38,3.16,1.3,2017
Spain,La Liga,(ATL),Luis Suarez,32,1,3008,25,25.65,0.81,121,55,3.82,1.74,2017
Spain,La Liga,(LEV),Sergio Leon,23,8,2071,11,11.12,0.51,65,27,2.98,1.24,2017
Spain,La Liga,(BAR),Lionel Messi,32,4,3123,33,32.54,0.99,197,95,5.99,2.89,2017
Spain,La Liga,(VAL),Maxi Gomez,35,1,3168,18,18.01,0.54,83,37,2.49,1.11,2017
Spain,La Liga,(SOC),Mikel Oyarzabal,31,4,2864,12,9.35,0.31,65,32,2.16,1.06,2017
Spain,La Liga,(SOC),Willian Josa,32,2,2869,15,13.89,0.46,89,29,2.95,0.96,2017
Spain,La Liga,(TOR),Simone Zaza,23,10,2163,13,12.07,0.53,73,24,3.21,1.05,2017
Spain,La Liga,(JUV),Cristiano Ronaldo,27,0,2375,26,29,1.16,178,76,7.12,3.04,2017
Spain,La Liga,(SOC),Portu ,35,2,3081,11,10.7,0.33,49,25,1.51,0.77,2017
Spain,La Liga,(VIL),Gerard Moreno,38,0,3555,16,17.96,0.48,105,47,2.81,1.26,2017
Spain,La Liga,(GIR),Cristhian Stuani,32,1,2785,21,20.52,0.7,74,37,2.52,1.26,2017
Spain,La Liga,(VIL),Carlos Bacca,30,5,2572,15,14.35,0.53,73,34,2.7,1.26,2017
Spain,La Liga,(CEL),Santi Mina,17,15,1630,12,9.44,0.55,43,20,2.51,1.17,2017
Spain,La Liga,(LEV),Morales ,35,0,3180,10,10.71,0.32,61,25,1.82,0.75,2017
Spain,La Liga,(SEV),Munir ,28,5,2517,10,10.6,0.4,62,23,2.34,0.87,2017
Italy,Serie A,(FIO),Jose Callejon,38,0,3359,10,10.25,0.29,64,32,1.81,0.91,2017
Italy,Serie A,(LAZ),Sergej Milinkovic-Savic,33,2,3014,12,6.66,0.21,91,34,2.87,1.07,2017
Italy,Serie A,(ATA),Duvan Zapata,24,7,2229,11,9.39,0.4,57,22,2.43,0.94,2017
Italy,Serie A,(JUV),Paulo Dybala,26,7,2407,22,11.4,0.45,114,45,4.5,1.78,2017
Italy,Serie A,(IMI),Gonzalo Higuain,32,3,2935,16,12.05,0.39,102,40,3.3,1.29,2017
Italy,Serie A,(BAR),Mirco Antenucci,28,5,2735,11,8.06,0.28,65,26,2.26,0.9,2017
Italy,Serie A,(SAM),Fabio Quagliarella,33,2,2864,19,17.79,0.59,113,46,3.75,1.53,2017
Italy,Serie A,(LAZ),Luis Alberto,32,2,2797,11,6.77,0.23,81,25,2.75,0.85,2017
Italy,Serie A,(PAR),Roberto Inglese,33,1,2914,12,9.82,0.32,76,37,2.48,1.21,2017
Italy,Serie A,(TOR),Andrea Belotti,29,3,2854,10,11.72,0.39,86,28,2.86,0.93,2017
Italy,Serie A,(ATA),Josip Ilicic,21,10,2115,11,8.24,0.37,89,36,4,1.62,2017
Italy,Serie A,(CAG),Giovanni Simeone,36,2,3157,14,13.29,0.4,107,37,3.22,1.11,2017
Italy,Serie A,(INT),Ivan Perisic,37,0,3491,11,9.19,0.25,116,38,3.16,1.03,2017
Italy,Serie A,(ROM),Edin Dzeko,33,3,3177,16,16.39,0.49,152,56,4.55,1.67,2017
Italy,Serie A,(CAG),Leonardo Pavoletti,31,2,2897,11,11.28,0.37,87,34,2.85,1.11,2017
Italy,Serie A,(LAZ),Ciro Immobile,33,0,2799,29,19.15,0.65,110,53,3.73,1.8,2017
Italy,Serie A,(NAP),Dries Mertens,35,3,3133,18,16.16,0.49,128,47,3.88,1.43,2017
Italy,Serie A,(PSG),Mauro Icardi,34,0,3096,29,23.14,0.71,101,53,3.1,1.63,2017
Italy,Serie A,(UDI),Kevin Lasagna,26,3,2244,12,11.34,0.48,72,31,3.05,1.31,2017
Italy,Serie A,(BEN),Iago Falque,34,3,2950,12,9.01,0.29,76,22,2.45,0.71,2017
Germany,Bundesliga,(BAY),Robert Lewandowski,24,6,2247,29,26.49,1.12,127,54,5.37,2.28,2017
Germany,Bundesliga,(SVW),Niclas Fullkrug,26,8,2507,14,12.14,0.46,87,33,3.3,1.25,2017
Germany,Bundesliga,(STP),Guido Burgstaller,24,8,2447,11,8.24,0.32,55,25,2.14,0.97,2017
Germany,Bundesliga,(BOT),Salomon Kalou,27,4,2272,12,9.33,0.39,50,23,2.09,0.96,2017
Germany,Bundesliga,(DOR),Thorgan Hazard,33,1,3062,10,12.89,0.4,87,33,2.7,1.02,2017
Germany,Bundesliga,(NAN),Jean-Kevin Augustin,14,11,1330,9,6.16,0.44,37,18,2.64,1.29,2017
Germany,Bundesliga,(BAY),Serge Gnabry,20,2,1555,10,5.57,0.34,49,23,2.99,1.41,2017
Germany,Bundesliga,(HOF),Andrej Kramaric,22,12,2353,13,9.66,0.39,83,35,3.35,1.41,2017
Germany,Bundesliga,(SCF),Nils Petersen,24,8,2362,15,11.93,0.48,63,24,2.53,0.97,2017
Germany,Bundesliga,None,Sandro Wagner ,18,7,1666,12,10,0.57,55,26,3.14,1.48,2017
Germany,Bundesliga,(CHE),Timo Werner,28,4,2596,13,13.39,0.49,95,40,3.48,1.46,2017
Germany,Bundesliga,(LEV),Leon Bailey,25,5,2317,9,7.56,0.31,76,27,3.12,1.11,2017
Germany,Bundesliga,(VfB),Daniel Didavi,26,4,2312,9,3.89,0.16,55,19,2.26,0.78,2017
Germany,Bundesliga,(FCA),Alfred Finnbogason,22,0,1879,12,11.08,0.56,51,25,2.58,1.26,2017
Germany,Bundesliga,(SVW),Davie Selke,19,8,1974,10,8.1,0.39,47,22,2.26,1.06,2017
Germany,Bundesliga,(SCH),Mark Uth,24,7,2279,14,9.84,0.41,54,21,2.25,0.88,2017
Germany,Bundesliga,(FCA),Michael Gregoritsch,30,2,2626,13,10.78,0.39,92,36,3.33,1.3,2017
Germany,Bundesliga,(DOR),Julian Brandt,26,8,2419,9,6.37,0.25,43,22,1.69,0.86,2017
Germany,Bundesliga,(MON),Kevin Volland,30,1,2693,14,8.79,0.31,55,28,1.94,0.99,2017
Germany,Bundesliga,(ARS),Pierre-Emerick Aubameyang,16,0,1480,13,16.36,1.05,58,27,3.72,1.73,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(OPE),Roger ,19,1,1465,11,8.64,0.56,47,20,3.05,1.3,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(CRU),Arthur Caike,34,0,2824,8,7.73,0.26,85,25,2.86,0.84,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(BEN),Everton ,14,18,1224,8,9.53,0.74,54,30,4.19,2.33,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Hernanes ,19,0,1222,9,5.27,0.41,52,23,4.04,1.79,2017
Brazil,Campeonato Brasileiro SÃ©rie A,None,Luiz Fernando,21,7,1792,9,6.04,0.32,54,22,2.86,1.17,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(FOR),Wellington Paulista,30,3,2278,9,9.35,0.39,63,30,2.63,1.25,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(FLU),Fred ,27,2,1865,12,12.56,0.64,57,24,2.9,1.22,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Santiago Trellez,23,0,1694,10,7.67,0.43,53,20,2.97,1.12,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(COR),Jo,34,0,2847,18,16.78,0.56,80,39,2.67,1.3,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(SCR),Thiago Neves,30,3,2383,9,10.54,0.42,102,51,4.07,2.03,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Bruno Henrique,28,0,2136,8,10.57,0.47,52,24,2.31,1.07,2017
Brazil,Campeonato Brasileiro SÃ©rie A,None,Dudu ,23,3,1751,10,6.82,0.37,45,23,2.44,1.25,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Diego ,24,3,2089,10,7.92,0.36,56,22,2.55,1,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(GRE),Diego Souza,26,1,1953,11,11.72,0.57,74,30,3.6,1.46,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(FLU),Lucca ,37,0,2933,13,11.11,0.36,96,40,3.11,1.3,2017
Brazil,Campeonato Brasileiro SÃ©rie A,None,Henrique Dourado,32,0,2472,19,14.83,0.57,65,37,2.5,1.42,2017
Brazil,Campeonato Brasileiro SÃ©rie A,None,Andre,35,0,2931,16,14.81,0.48,88,34,2.85,1.1,2017
Brazil,Campeonato Brasileiro SÃ©rie A,None,Edigar Junio ,21,5,1547,12,11.4,0.7,49,29,3.01,1.78,2017
Brazil,Campeonato Brasileiro SÃ©rie A,None,Junior  Dutra,27,3,2022,9,10.43,0.49,75,25,3.52,1.17,2017
Brazil,Campeonato Brasileiro SÃ©rie A,(GRE),Luiz Fernando,21,12,1769,9,5.96,0.32,42,16,2.26,0.86,2017
Spain,La Liga,(RMA),Karim Benzema,35,1,3072,21,17.46,0.54,104,44,3.22,1.36,2018
Spain,La Liga,(VAL),Maxi Gomez,33,2,3148,13,12.92,0.39,82,28,2.47,0.84,2018
Spain,La Liga,(CEL),Iago Aspas,26,1,2369,20,12.47,0.5,69,32,2.77,1.28,2018
Spain,La Liga,(GET),Jaime Mata,27,7,2569,14,12.44,0.46,59,25,2.18,0.92,2018
Spain,La Liga,(BIL),Inaki Williams,36,2,3148,12,13.59,0.41,75,33,2.26,1,2018
Spain,La Liga,(GIR),Cristhian Stuani,30,2,2897,19,16.47,0.54,77,39,2.53,1.28,2018
Spain,La Liga,(OSA),Chimy Avila,20,14,2131,10,7.63,0.34,88,24,3.92,1.07,2018
Spain,La Liga,(ESP),Raul de Tomas,32,1,2964,14,16.22,0.52,115,47,3.69,1.51,2018
Spain,La Liga,(ATL),Luis Suarez,31,2,2954,21,24.88,0.8,112,58,3.6,1.87,2018
Spain,La Liga,(LEV),Roger ,23,8,1999,13,14.1,0.67,71,30,3.37,1.43,2018
Spain,La Liga,(SOC),Willian Jose,28,3,2471,12,11.7,0.45,55,26,2.11,1,2018
Spain,La Liga,(PSG),Pablo Sarabia,30,3,2877,13,11.81,0.39,75,31,2.48,1.02,2018
Spain,La Liga,(SOC),Mikel Oyarzabal,36,1,3300,13,11.12,0.32,66,28,1.9,0.81,2018
Spain,La Liga,(BAR),Antoine Griezmann,37,0,3349,15,14.45,0.41,113,45,3.21,1.28,2018
Spain,La Liga,(BET),Borja Iglesias,35,2,3246,17,16.4,0.48,90,38,2.63,1.11,2018
Spain,La Liga,(BAR),Lionel Messi,29,5,2849,36,25.49,0.85,170,87,5.67,2.9,2018
Spain,La Liga,(GRA),Jorge Molina,28,10,2819,14,11.28,0.38,57,23,1.92,0.78,2018
Spain,La Liga,None,Charles,17,17,1861,14,13.91,0.71,63,30,3.22,1.53,2018
Spain,La Liga,(MON),Wissam Ben Yedder,31,4,2975,18,17.22,0.55,76,36,2.43,1.15,2018
Spain,La Liga,(LEV),Morales ,35,2,3381,12,13.52,0.38,65,33,1.83,0.93,2018
Italy,Serie A,(NAP),Arkadiusz Milik,27,8,2560,17,12.4,0.46,111,51,4.12,1.89,2018
Italy,Serie A,(ATA),Duvan Zapata,32,5,3064,23,18.38,0.57,118,50,3.66,1.55,2018
Italy,Serie A,(NAP),Lorenzo Insigne,24,4,2191,10,9.23,0.4,120,37,5.2,1.6,2018
Italy,Serie A,(JUV),Cristiano Ronaldo,30,1,2857,21,21.65,0.72,177,68,5.89,2.26,2018
Italy,Serie A,(LAZ),Ciro Immobile,31,5,3046,15,15.71,0.49,124,49,3.87,1.53,2018
Italy,Serie A,(TOR),Andrea Belotti,37,0,3533,15,15.99,0.43,125,47,3.36,1.26,2018
Italy,Serie A,(SAM),Fabio Quagliarella,37,0,3269,26,23.06,0.67,141,57,4.1,1.66,2018
Italy,Serie A,Mario,Mandzukic None,23,2,2125,9,6.49,0.29,31,17,1.39,0.76,2018
Italy,Serie A,(ROM),Edin Dzeko,28,5,2741,9,13.56,0.47,131,50,4.54,1.73,2018
Italy,Serie A,(NAP),Andrea Petagna,35,1,3196,16,12.78,0.38,89,41,2.65,1.22,2018
Italy,Serie A,(PAR),Roberto Inglese,23,2,2075,9,7.86,0.36,47,21,2.15,0.96,2018
Italy,Serie A,(ATA),Josip Ilicic,23,8,2262,12,9.29,0.39,101,38,4.24,1.6,2018
Italy,Serie A,(SAS),Francesco Caputo,38,0,3641,16,16.1,0.42,96,43,2.5,1.12,2018
Italy,Serie A,(CAG),Leonardo Pavoletti,31,1,2903,16,11,0.36,84,33,2.75,1.08,2018
Italy,Serie A,(SAS),Gregoire Defrel,26,10,2388,11,8.3,0.33,47,23,1.87,0.91,2018
Italy,Serie A,(NAP),Dries Mertens,23,12,2416,16,10.43,0.41,89,39,3.5,1.53,2018
Italy,Serie A,None,Stephan El Shaarawy,23,5,2213,11,7.22,0.31,70,30,3,1.29,2018
Italy,Serie A,(PAR),Gervinho ,27,3,2430,11,6.91,0.27,44,19,1.72,0.74,2018
Italy,Serie A,(PSG),Mauro Icardi,24,5,2314,11,14.86,0.61,73,29,3,1.19,2018
Italy,Serie A,(BSC),Krzysztof Piatek,34,3,3147,23,17.23,0.52,118,52,3.56,1.57,2018
Germany,Bundesliga,(HOF),Andrej Kramaric,28,2,2527,16,19.42,0.73,110,43,4.14,1.62,2018
Germany,Bundesliga,(BMG),Alassane Plea,28,6,2613,12,11.28,0.41,83,41,3.02,1.49,2018
Germany,Bundesliga,(CHE),Kai Havertz,33,1,3033,16,11.17,0.35,87,42,2.73,1.32,2018
Germany,Bundesliga,(RMA),Luka Jovic,25,7,2353,17,14.12,0.57,97,42,3.92,1.7,2018
Germany,Bundesliga,(ACM),Ante Rebic,23,5,2075,11,9.17,0.42,61,28,2.79,1.28,2018
Germany,Bundesliga,(DOR),Jadon Sancho,26,8,2602,13,6.85,0.25,40,21,1.46,0.77,2018
Germany,Bundesliga,(FCA),Alfred Finnbogason,17,1,1385,10,10.21,0.7,40,18,2.74,1.23,2018
Germany,Bundesliga,(KOL),Ondrej Duda,30,2,2661,11,5.88,0.21,54,20,1.93,0.71,2018
Germany,Bundesliga,(VIL),Paco Alcacer,11,15,1312,18,9.39,0.68,52,27,3.77,1.96,2018
Germany,Bundesliga,(CHE),Timo Werner,29,1,2582,16,15.49,0.57,107,39,3.94,1.43,2018
Germany,Bundesliga,(SCH),Benito Raman,19,11,1781,10,6.19,0.33,55,26,2.93,1.39,2018
Germany,Bundesliga,(MON),Kevin Volland,32,2,2945,14,12.4,0.4,87,43,2.81,1.39,2018
Germany,Bundesliga,(WOB),Wout Weghorst,33,1,3061,17,16.11,0.5,73,34,2.27,1.06,2018
Germany,Bundesliga,(HOF),Ishak Belfodil,20,8,1965,18,10.14,0.49,88,36,4.25,1.74,2018
Germany,Bundesliga,(DOR),Marco Reus,27,0,2432,17,13.31,0.52,69,33,2.7,1.29,2018
Germany,Bundesliga,(MAI),Jean-Philippe Mateta,29,5,2587,14,11.71,0.43,97,34,3.56,1.25,2018
Germany,Bundesliga,(WHU),Sebastien Haller,23,6,2312,15,12.17,0.5,54,26,2.22,1.07,2018
Germany,Bundesliga,(UNB),Max Kruse,32,0,2975,11,9.39,0.3,91,40,2.91,1.28,2018
Germany,Bundesliga,(BAY),Robert Lewandowski,33,0,3090,22,29.27,0.9,144,51,4.43,1.57,2018
Germany,Bundesliga,(RBL),Yussuf Poulsen,27,4,2556,15,10.76,0.4,65,27,2.42,1,2018
France,France Ligue 11,(PSG),Angel Di Maria,28,2,2418,12,10.44,0.41,97,30,3.81,1.18,2018
